Results from FLAKE simulations.
 No     time         Ts            Tm            Tb            ufr_a         ufr_w         Wconv         Qw            Q_se          Q_la          I_w           Q_lwa         Q_lww         h_ML          C_T           H_B1          T_B1          Qbot          H_ice         H_snow        T_ice         T_snow   
        0   0.00000       6.12800       6.12800       6.25500      0.626180E-01  0.220763E-02  0.548460E-02  -150.852      -28.7083      -29.3199       30.6442       0.00000      -341.480       16.0500      0.500000       5.00000       4.00000      0.492492       0.00000       0.00000       0.00000       0.00000    
        1   1.00000       5.97330       5.97330       5.97330      0.908643E-01  0.320442E-02  0.516200E-02  -134.116      -28.4345      -32.9980       25.9120       0.00000      -340.724       16.0500      0.500000      0.367129       6.00664     -0.991665E-01   0.00000       0.00000       0.00000       0.00000    
        2   2.00000       5.83474       5.83474       5.83474      0.224165      0.790750E-02  0.569180E-02  -181.006      -56.3549      -63.3158       23.3330       0.00000      -340.048       16.0500      0.500000      0.279452       6.06360     -0.894314       0.00000       0.00000       0.00000       0.00000    
        3   3.00000       5.63379       5.63379       5.63379      0.910968E-01  0.321471E-02  0.506821E-02  -154.824      -32.1072      -34.6060       31.6540       0.00000      -339.069       16.0500      0.500000      0.461386       5.94430     -0.734903       0.00000       0.00000       0.00000       0.00000    
        4   4.00000       5.47687       5.47687       5.47687      0.188063      0.663854E-02  0.506798E-02  -167.951      -39.6639      -48.3247       31.4385       0.00000      -338.306       16.0500      0.500000      0.431446       5.96354      -1.23178       0.00000       0.00000       0.00000       0.00000    
        5   5.00000       5.30348       5.30348       5.30348      0.203383      0.718171E-02  0.527347E-02  -207.124      -52.1964      -69.9184       32.1708       0.00000      -337.465       16.0500      0.500000      0.432606       5.96279      -1.66427       0.00000       0.00000       0.00000       0.00000    
        6   6.00000       5.08137       5.08137       5.08137      0.750464E-01  0.265111E-02  0.386470E-02  -107.461      -19.5585      -24.3709       26.0953       0.00000      -336.390       16.0500      0.500000      0.438049       5.95928      -2.18853       0.00000       0.00000       0.00000       0.00000    
        7   7.00000       4.97989       4.97989       4.97989      0.870702E-01  0.307646E-02  0.420909E-02  -144.423      -36.9440      -31.7113       27.4031       0.00000      -335.899       16.0500      0.500000      0.500870       5.91881      -2.04705       0.00000       0.00000       0.00000       0.00000    
        8   8.00000       4.83253       4.83253       4.83253      0.955793E-01  0.337807E-02  0.418310E-02  -162.886      -46.6873      -38.3168       27.6734       0.00000      -335.188       16.0500      0.500000      0.534118       5.89754      -2.17742       0.00000       0.00000       0.00000       0.00000    
        9   9.00000       4.66201       4.66201       4.66201      0.176197      0.622938E-02  0.382903E-02  -145.599      -54.3449      -54.9002       14.4305       0.00000      -334.366       16.0500      0.500000      0.558921       5.88173      -2.38305       0.00000       0.00000       0.00000       0.00000    
       10   10.0000       4.49695       4.49695       4.49695      0.195568      0.691641E-02  0.301445E-02  -104.879      -29.8746      -37.3114       22.0648       0.00000      -333.572       16.0500      0.500000      0.587317       5.86369      -2.54118       0.00000       0.00000       0.00000       0.00000    
       11   11.0000       4.39406       4.39406       4.39406      0.459274      0.162458E-01  0.263445E-02  -74.4034      -17.4778      -36.2904       3.49690       0.00000      -333.078       16.0500      0.500000      0.632985       5.83476      -2.48543       0.00000       0.00000       0.00000       0.00000    
       12   12.0000       4.30636       4.30636       4.30636      0.106231      0.375829E-02  0.184031E-02  -53.1327      -3.72531      -11.1529       25.5194       0.00000      -332.657       16.0500      0.500000      0.676709       5.80720      -2.42189       0.00000       0.00000       0.00000       0.00000    
       13   13.0000       4.27408       4.27408       4.27408      0.118422      0.418985E-02  0.191853E-02  -61.6566      -8.42174      -15.4060       26.1851       0.00000      -332.502       16.0500      0.500000      0.731025       5.77314      -2.23929       0.00000       0.00000       0.00000       0.00000    
       14   14.0000       4.23148       4.23148       4.23148      0.324269      0.114738E-01   0.00000       78.7440       44.5501       31.9488       11.8043       0.00000      -332.298       16.0500      0.500000      0.775449       5.74547      -2.13202       0.00000       0.00000       0.00000       0.00000    
       15   15.0000       4.35027       4.35027       4.35027      0.247587      0.875856E-02   0.00000      -12.7548       20.8525     -0.481936       29.8345       0.00000      -332.868       16.0500      0.500000      0.865823       5.68946      -1.68902       0.00000       0.00000       0.00000       0.00000    
       16   16.0000       4.37433       4.37433       4.37433      0.206655      0.731023E-02   0.00000      -13.6036       17.4363      -8.48103       27.2097       0.00000      -332.983       16.0500      0.500000      0.917919       5.65752      -1.52655       0.00000       0.00000       0.00000       0.00000    
       17   17.0000       4.39372       4.39372       4.39372       0.00000      0.859736E-04  0.909858E-03  -28.0438      0.345320E-01  0.148458E-01   28.7588       0.00000      -333.076       16.0500      0.500000      0.964565       5.62911      -1.39860       0.00000       0.00000       0.00000       0.00000    
       18   18.0000       4.39643       4.39643       4.39643      0.307966      0.108936E-01   0.00000       3.80526       14.9075      -1.16675       14.0173       0.00000      -333.089       16.0500      0.500000       1.00156       5.60671      -1.31956       0.00000       0.00000       0.00000       0.00000    
       19   19.0000       4.42097       4.42097       4.42097       0.00000      0.751380E-04  0.162696E-02  -50.2966      0.194107E-01 -0.395909E-02   39.5442       0.00000      -333.207       16.0500      0.500000       1.04541       5.58028      -1.21098       0.00000       0.00000       0.00000       0.00000    
       20   20.0000       4.40874       4.40874       4.40874      0.300872      0.106424E-01   0.00000       63.1196       37.3870       23.4808       4.29106       0.00000      -333.148       16.0500      0.500000       1.07109       5.56489      -1.17872       0.00000       0.00000       0.00000       0.00000    
       21   21.0000       4.49665       4.49665       4.49665       0.00000      0.732944E-04  0.180637E-02  -52.9283      0.146411E-01 -0.135924E-01   39.5196       0.00000      -333.571       16.0500      0.500000       1.13960       5.52395     -0.984389       0.00000       0.00000       0.00000       0.00000    
       22   22.0000       4.48073       4.48073       4.48073      0.374930E-01  0.132601E-02  0.244696E-02  -76.9722      -12.1836      -11.5381       34.0181       0.00000      -333.494       16.0500      0.500000       1.15753       5.51334     -0.974157       0.00000       0.00000       0.00000       0.00000    
       23   23.0000       4.42692       4.42692       4.42692      0.628817E-01  0.222416E-02  0.190051E-02  -47.1793      -8.27264      -9.12557       25.6181       0.00000      -333.236       16.0500      0.500000       1.15663       5.51387      -1.02622       0.00000       0.00000       0.00000       0.00000    
       24   24.0000       4.40060       4.40060       4.40060      0.884490E-01  0.312864E-02  0.221155E-02  -65.4764      -15.3772      -15.7310       27.4067       0.00000      -333.109       16.0500      0.500000       1.17003       5.50595      -1.03163       0.00000       0.00000       0.00000       0.00000    
       25   25.0000       4.35313       4.35313       4.35313      0.833752E-01  0.294944E-02  0.188971E-02  -59.5165      -6.51198      -12.3733       34.7067       0.00000      -332.882       16.0500      0.500000       1.17330       5.50402      -1.07115       0.00000       0.00000       0.00000       0.00000    
       26   26.0000       4.32270       4.32270       4.32270      0.164448      0.581775E-02   0.00000       18.7914       16.3625       6.87748       17.6335       0.00000      -332.736       16.0500      0.500000       1.18530       5.49695      -1.08182       0.00000       0.00000       0.00000       0.00000    
       27   27.0000       4.37077       4.37077       4.37077      0.208477      0.737473E-02   0.00000       3.89130       16.4444      -2.61878       26.0093       0.00000      -332.966       16.0500      0.500000       1.23345       5.46860     -0.971931       0.00000       0.00000       0.00000       0.00000    
       28   28.0000       4.41034       4.41034       4.41034      0.306953      0.108574E-01  0.142055E-02  -38.9032       6.10205      -16.1009       32.2391       0.00000      -333.156       16.0500      0.500000       1.27627       5.44356     -0.884038       0.00000       0.00000       0.00000       0.00000    
       29   29.0000       4.40294       4.40294       4.40294      0.121774      0.430740E-02  0.252549E-02  -98.4592      -16.9968      -26.0480       42.2977       0.00000      -333.121       16.0500      0.500000       1.29419       5.43314     -0.869261       0.00000       0.00000       0.00000       0.00000    
       30   30.0000       4.33207       4.33207       4.33207      0.144448      0.511012E-02  0.240465E-02  -101.857      -18.4708      -29.0016       43.5827       0.00000      -332.781       16.0500      0.500000       1.27915       5.44187     -0.947427       0.00000       0.00000       0.00000       0.00000    
       31   31.0000       4.25859       4.25859       4.25859      0.126793      0.448618E-02  0.128847E-02  -34.0536      -3.25510      -18.1808       24.8003       0.00000      -332.428       16.0500      0.500000       1.26547       5.44982      -1.02793       0.00000       0.00000       0.00000       0.00000    
       32   32.0000       4.24805       4.24805       4.24805      0.188072      0.665448E-02   0.00000       22.1378       19.8518       7.68900       23.3471       0.00000      -332.378       16.0500      0.500000       1.28427       5.43887      -1.01254       0.00000       0.00000       0.00000       0.00000    
       33   33.0000       4.30764       4.30764       4.30764      0.130646      0.462207E-02   0.00000       1.51802       8.42362      -1.08996       24.2376       0.00000      -332.663       16.0500      0.500000       1.33609       5.40877     -0.899960       0.00000       0.00000       0.00000       0.00000    
       34   34.0000       4.34181       4.34181       4.34181      0.238486      0.843675E-02   0.00000       12.5521       16.3580       3.69405       8.70278       0.00000      -332.827       16.0500      0.500000       1.37439       5.38668     -0.830191       0.00000       0.00000       0.00000       0.00000    
       35   35.0000       4.37011       4.37011       4.37011      0.161860      0.572569E-02  0.109431E-02  -46.5146       6.50430      -12.8666       47.0722       0.00000      -332.963       16.0500      0.500000       1.40877       5.36696     -0.772700       0.00000       0.00000       0.00000       0.00000    
       36   36.0000       4.37182       4.37182       4.37182      0.718959E-01  0.254326E-02  0.134190E-02  -50.3088      -2.10875      -7.06210       46.2211       0.00000      -332.971       16.0500      0.500000       1.42799       5.35598     -0.752600       0.00000       0.00000       0.00000       0.00000    
       37   37.0000       4.36755       4.36755       4.36755      0.226318      0.800587E-02  0.167376E-02  -47.1244      -7.27311      -20.5392       31.5909       0.00000      -332.951       16.0500      0.500000       1.44344       5.34718     -0.741119       0.00000       0.00000       0.00000       0.00000    
       38   38.0000       4.34859       4.34859       4.34859      0.206815      0.731623E-02  0.221585E-02  -87.4716      -12.5624      -35.1028       45.5704       0.00000      -332.860       16.0500      0.500000       1.45046       5.34320     -0.748811       0.00000       0.00000       0.00000       0.00000    
       39   39.0000       4.29584       4.29584       4.29584      0.147311      0.521178E-02  0.243008E-02  -118.578      -22.0703      -40.3872       51.7405       0.00000      -332.607       16.0500      0.500000       1.43899       5.34971     -0.799746       0.00000       0.00000       0.00000       0.00000    
       40   40.0000       4.21120       4.21120       4.21120      0.904447E-01  0.320039E-02  0.207545E-02  -116.712      -17.3532      -27.0614       62.1299       0.00000      -332.201       16.0500      0.500000       1.41206       5.36502     -0.892295       0.00000       0.00000       0.00000       0.00000    
       41   41.0000       4.14238       4.14238       4.14238      0.805167E-01  0.284946E-02  0.176704E-02  -111.506      -16.0583      -22.3037       64.8465       0.00000      -331.872       16.0500      0.500000       1.39683       5.37371     -0.962609       0.00000       0.00000       0.00000       0.00000    
       42   42.0000       4.08382       4.08382       4.08382      0.105452      0.373233E-02  0.134629E-02  -88.3438      -12.6150      -21.6604       57.6980       0.00000      -331.591       16.0500      0.500000       1.38891       5.37824      -1.01771       0.00000       0.00000       0.00000       0.00000    
